"article_cond","SID","item","n","comment"
"social","s088","12",57,"This article matters to people I know because people that I know often cook at home and some of them grow their own fruits and vegetables. They will be interested to learn about how cooking can influence the nutrients in their food and in some cases decrease the levels of nutrients in it based on this article."
"social","s088","9",47,"This article matters to people I know because hearing loss is a health issue almost all people face as they age over time, and people I know will be impacted by the increased likelihood of injuries mentioned in the article when or if they develop hearing loss."
"social","s089","10",NA,NA
"social","s089","11",NA,NA
"social","s089","12",NA,NA
"social","s089","9",NA,NA
"social","s090","1",15,"People I know would agree that billionaires are dangerous and contribute negatively to the environment"
"social","s090","2",11,"People I know do not seem to care much about GMOs"
"social","s090","3",12,"People I know want to find ways to reduce their carbon footprint"
"social","s090","4",24,"People I know all get sick or have gotten sick and might want to know more about the factors behind a strong immune system"
"social","s091","10",NA,NA
"social","s091","11",NA,NA
"social","s091","12",NA,NA
"social","s091","9",NA,NA
"social","s092","5",NA,NA
"social","s092","6",NA,NA
"social","s092","7",NA,NA
"social","s092","8",NA,NA
"social","s093","5",NA,NA
"social","s093","6",NA,NA
"social","s093","7",NA,NA
"social","s093","8",NA,NA
"social","s094","5",14,"I want the people I know to stay as fit and young as possible"
"social","s094","6",15,"People I know live in the environment and need to know how it is changing."
"social","s094","7",12,"People I know recycle and need to stop recycling things you can't"
"social","s094","8",12,"People I know recycling and need to sort out the right things."
"social","s095","1",8,"The article describes some important climate adjacent news"
"social","s095","2",8,"It could be worth knowing for healthier babies"
"social","s095","3",12,"The article has some important climate adjacent news to take note of"
"social","s095","4",14,"Climate change is an existential threat to everyone, and this is relevant to that."
"social","s096","1",NA,NA
"social","s096","2",NA,NA
"social","s096","3",NA,NA
"social","s096","4",NA,NA
"social","s097","5",10,"My family is very concerned with climate change and recycling."
"social","s097","6",15,"If they're trying to lose weight, this may be valuable information about eating while exercising."
"social","s097","7",14,"I have some friends that smoke, and this may be of interest to them."
"social","s097","8",10,"My housemate's cousin did a walkout like this in Chicago."
"social","s098","10",NA,NA
"social","s098","11",NA,NA
"social","s098","12",NA,NA
"social","s098","9",NA,NA
"social","s099","5",NA,NA
"social","s099","6",NA,NA
"social","s099","7",NA,NA
"social","s099","8",NA,NA
"social","s100","5",NA,NA
"social","s100","6",NA,NA
"social","s100","7",NA,NA
"social","s100","8",NA,NA
"social","s101","5",26,"My mom is always trying to find the secret to being healthier, turns out it might be more based on luck and genetics than she thought."
"social","s101","6",20,"The impacts of energy usage and fossil fuels is relevant to us all, due to environmental impacts and economic implications."
"social","s101","7",14,"People around me who are curious about climate sciences might find this article informative."
"social","s101","8",16,"If you've ever been curious about your carbon footprint, check out this guide in this article."
"social","s102","5",NA,NA
"social","s102","6",NA,NA
"social","s102","7",NA,NA
"social","s102","8",NA,NA
"social","s103","10",24,"This matters to the people that I know because literally everyone that I know eats processed meats and is at risk of colorectal cancer."
"social","s103","11",21,"This article matters to those that think they are recycling and they should know exactly what is happening with their trash."
"social","s103","12",25,"This matters to people because people are really interested in saving endangered animals and they need these protections to remain in place for the animals."
"social","s103","9",20,"This matters to the people know because there are many people worried about what is happening to the sea animals."
"social","s104","5",NA,NA
"social","s104","6",NA,NA
"social","s104","7",NA,NA
"social","s104","8",NA,NA
"social","s105","1",NA,NA
"social","s105","2",NA,NA
"social","s105","3",NA,NA
"social","s105","4",NA,NA
"social","s106","10",NA,NA
"social","s106","11",NA,NA
"social","s106","12",NA,NA
"social","s106","9",NA,NA
"social","s107","10",NA,NA
"social","s107","11",NA,NA
"social","s107","12",NA,NA
"social","s107","9",NA,NA
"social","s108","1",NA,NA
"social","s108","2",NA,NA
"social","s108","3",NA,NA
"social","s108","4",NA,NA
"social","s109","5",NA,NA
"social","s109","6",NA,NA
"social","s109","7",NA,NA
"social","s109","8",NA,NA
"social","s110","1",NA,NA
"social","s110","2",NA,NA
"social","s110","3",NA,NA
"social","s110","4",NA,NA
"social","s111","1",NA,NA
"social","s111","2",NA,NA
"social","s111","3",NA,NA
"social","s111","4",NA,NA
"social","s112","10",NA,NA
"social","s112","11",NA,NA
"social","s112","12",NA,NA
"social","s112","9",NA,NA
"social","s113","5",7,"I know people who use reusable bags"
"social","s113","6",7,"Lots of my friends love the outdoors"
"social","s113","7",7,"Lots of friends have benefited from cbd"
"social","s113","8",12,"Lots of people want to lose weight but don’t actually know how"
"social","s114","1",21,"While I'm not obese myself, many people I know are, and several of them are already getting treatment for sleep apnea."
"social","s114","2",31,"Honestly, I don't know where you're getting these articles from! This article reads like clickbait. It doesn't matter to people I know since it may be just another misrepresentation of information."
"social","s114","3",69,"This article is irrelevant to almost everyone I know. I know of hardly anyone who does anything other than walking to their car and then into their destination. I'm the only person I know who does substantial amounts of walking and I don't make a habit of comparing my walking speed to that of others around me, especially since it's a rare moment when I see another person walking."
"social","s114","4",25,"Honestly, this is just anecdata. One person publishes a blog and people get bent out of shape. Not relevant to me or anyone I know."
"social","s115","1",NA,NA
"social","s115","2",NA,NA
"social","s115","3",NA,NA
"social","s115","4",NA,NA
"social","s116","5",NA,NA
"social","s116","6",NA,NA
"social","s116","7",NA,NA
"social","s116","8",NA,NA
"social","s117","10",8,"wanna get in shape? try this, might work"
"social","s117","11",5,"we need to do better"
"social","s117","12",16,"do you like riding bikes, doesn't matter you probably should if you want to live longer"
"social","s117","9",14,"pay attention to what companies are doing- you might be wasting effort and money."
"social","s118","5",NA,NA
"social","s118","6",NA,NA
"social","s118","7",NA,NA
"social","s118","8",NA,NA
"social","s119","10",NA,NA
"social","s119","11",NA,NA
"social","s119","12",NA,NA
"social","s119","9",NA,NA
"social","s120","10",8,"Most of the people I know are parents."
"social","s120","11",13,"My mother is a healthy eater.  She would be interested in this article."
"social","s120","12",8,"No one I know likes to be sick."
"social","s120","9",12,"I know several people that have conditions that are worsened by heat."
"social","s121","5",24,"Increased avalanches increase sea levels, and will have an overall impact on the coasts, which will make people move more inward where I live."
"social","s121","6",28,"Eating sugary foods can give a warning of things to come unless diet changes occur. Some of my friends do not eat these types of food in moderation."
"social","s121","7",18,"Cancer is prevalent in my family, and crowdfunding to find a cure could help people I know greatly."
"social","s121","8",19,"Saving the environment by using reusable items is important to my friends who are conscious about their environmental impact."
"social","s122","5",NA,NA
"social","s122","6",NA,NA
"social","s122","7",NA,NA
"social","s122","8",NA,NA
"social","s123","10",NA,NA
"social","s123","11",NA,NA
"social","s123","12",NA,NA
"social","s123","9",NA,NA
"social","s124","1",11,"This matters to me because energy (gas) costs alot of money"
"social","s124","2",12,"This matters to people I know because many of them are overweight"
"social","s124","3",9,"Most people I know enjoy running---I do not"
"social","s124","4",15,"This matters to women I know because we all care about not getting breast cancer"
"social","s125","5",NA,NA
"social","s125","6",NA,NA
"social","s125","7",NA,NA
"social","s125","8",NA,NA
"social","s126","1",NA,NA
"social","s126","2",NA,NA
"social","s126","3",NA,NA
"social","s126","4",NA,NA
"social","s127","10",NA,NA
"social","s127","11",NA,NA
"social","s127","12",NA,NA
"social","s127","9",NA,NA
"social","s128","10",13,"I know people who are very worried about the environment and the economy"
"social","s128","11",8,"I know people who are passionate about recycling"
"social","s128","12",9,"I know people who like to cycle and swim"
"social","s128","9",9,"I know people who are very involved with exercise"
"social","s129","1",NA,NA
"social","s129","2",NA,NA
"social","s129","3",NA,NA
"social","s129","4",NA,NA
"social","s130","5",30,"I don't know anyone under 25 who takes an abundant of dietary supplements.  Personally, I don't believe in taking many - how much/many does your body absorb at one time?"
"social","s130","6",35,"I have a friend who is more than a vegan and she would be interested in this about lab-grown meat.  Sorry, but I can't get on that bandwagon....it's just so foreign to me."
"social","s130","7",24,"I take vitamin D and notice faster hair & nail growth.  Someone reading this would certainly consider checking it out to see if it works."
"social","s130","8",28,"This article would possibly read by zero people I know well.  Climate change is a subject we all hear about, but don't consider it a present concern....yet."
"social","s131","10",25,"It doesn't. Most of the people I know are not interested in weightloss, either because they are thin, or because they like being morbidly obese."
"social","s131","11",6,"It doesn't. This is common knowledge."
"social","s131","12",22,"Some people may repost this either to say ""wonderful! I look forward to never hearding about it again."" Otherwise, they don't care."
"social","s131","9",39,"No one I know cares about this person except people who either mock her for being an idiot, or pity her for being a mouthpiece. This is regardless of their stance on climate change, as far as i'm aware."
"social","s132","1",NA,NA
"social","s132","2",NA,NA
"social","s132","3",NA,NA
"social","s132","4",NA,NA
"social","s133","5",NA,NA
"social","s133","6",NA,NA
"social","s133","7",NA,NA
"social","s133","8",NA,NA
"social","s134","10",11,"One of my friends is about to have a new baby."
"social","s134","11",11,"My mom is vegan so this news might make her happy."
"social","s134","12",10,"A lot of friends and relatives drink these unhealthy drinks."
"social","s134","9",15,"I have friends and family who live in areas that could be prone to flooding."
"social","s135","10",NA,NA
"social","s135","11",NA,NA
"social","s135","12",NA,NA
"social","s135","9",NA,NA
"social","s136","10",26,"A lot of people like to try a gluten-free diet to lose weight. They need to know that it could actually cause problems for them."
"social","s136","11",34,"Everyone needs to know about what is going on with the planet that they live on. It is important that they know what is causing the problems and how bad they're going to get."
"social","s136","12",19,"Everyone always wants to save money so anything that helps them to not spend as much matters to them."
"social","s136","9",24,"Now that I am nearing thirty, I am worried about how much physical activity I will be able to continue doing as I age."
"social","s137","5",NA,NA
"social","s137","6",NA,NA
"social","s137","7",NA,NA
"social","s137","8",NA,NA
"social","s138","5",NA,NA
"social","s138","6",NA,NA
"social","s138","7",NA,NA
"social","s138","8",NA,NA
"social","s139","5",NA,NA
"social","s139","6",NA,NA
"social","s139","7",NA,NA
"social","s139","8",NA,NA
"social","s140","10",34,"I have friends and family who are looking to buy homes in the future. They should be aware that they might be buying in a flood-prone area and really think about the risks."
"social","s140","11",24,"I know people who are interested in switching over to an electric vehicle - so this would be great in helping them to do so."
"social","s140","12",26,"Some people I know eat this kind of meat regularly and may not be aware of the connection. It might be good for them to know."
"social","s140","9",13,"I know someone who does marathons, they might be interested in this study."
"social","s141","5",NA,NA
"social","s141","6",NA,NA
"social","s141","7",NA,NA
"social","s141","8",NA,NA
"social","s142","1",12,"people I know are interested in fitness and this might motivate them."
"social","s142","2",11,"People are always interested in ways to lose weight without exercising."
"social","s142","3",7,"People that might life in affected areas."
"social","s142","4",7,"friends that are frustrated with slow results."
"social","s143","5",6,"I know some people from Australia"
"social","s143","6",7,"Some people i know care about this"
"social","s143","7",4,"Interesting news to read"
"social","s143","8",5,"Health news is always important"
"social","s144","5",NA,NA
"social","s144","6",NA,NA
"social","s144","7",NA,NA
"social","s144","8",NA,NA
"social","s145","5",NA,NA
"social","s145","6",NA,NA
"social","s145","7",NA,NA
"social","s145","8",NA,NA
"social","s146","5",NA,NA
"social","s146","6",NA,NA
"social","s146","7",NA,NA
"social","s146","8",NA,NA
"social","s147","1",NA,NA
"social","s147","2",NA,NA
"social","s147","3",NA,NA
"social","s147","4",NA,NA
"social","s148","1",NA,NA
"social","s148","2",NA,NA
"social","s148","3",NA,NA
"social","s148","4",NA,NA
"social","s149","5",NA,NA
"social","s149","6",NA,NA
"social","s149","7",NA,NA
"social","s149","8",NA,NA
"social","s150","10",NA,NA
"social","s150","11",NA,NA
"social","s150","12",NA,NA
"social","s150","9",NA,NA
"social","s151","1",NA,NA
"social","s151","2",NA,NA
"social","s151","3",NA,NA
"social","s151","4",NA,NA
"social","s152","5",NA,NA
"social","s152","6",NA,NA
"social","s152","7",NA,NA
"social","s152","8",NA,NA
"social","s153","5",NA,NA
"social","s153","6",NA,NA
"social","s153","7",NA,NA
"social","s153","8",NA,NA
"social","s154","5",NA,NA
"social","s154","6",NA,NA
"social","s154","7",NA,NA
"social","s154","8",NA,NA
"social","s155","5",29,"i wouldnt say my fiancee has an eating disorder but she eats very little because of having image issues so this might help me understand and help her better"
"social","s155","6",26,"a few of my friends are gluten free and i think some of them arent actually needing to be so maybe this could show them that"
"social","s155","7",24,"some of my friends ask why i walk so slow and what not maybe this could open their eyes to why i do that"
"social","s155","8",34,"i know people are obsessed with making their houses smell better and what not and maybe this could show them that using those things is actually harming the environment more then if they didnt"
"social","s156","5",NA,NA
"social","s156","6",NA,NA
"social","s156","7",NA,NA
"social","s156","8",NA,NA
"social","s157","10",15,"The amount of plastic still in the environment should matter to the people I know."
"social","s157","11",30,"I only know 1 person who has to eat gluten free. I feel people need to know that may be unhealthy to eat gluten free if you don't need to."
"social","s157","12",10,"People I know should know the truth about climate change"
"social","s157","9",17,"Because alternative products should matter to the people I know who care about climate change and waste"
"social","s158","5",17,"My mom has obesity, high blood pressure, high glucose and cholesterol so this hits home for me."
"social","s158","6",14,"My partner cooks at home and this would be important for her to know."
"social","s158","7",9,"I have kids and know people that have kids."
"social","s158","8",9,"This doesn't really matter to anyone that I know."
"social","s159","5",17,"This article matters to the people that I know because they all use some type of technology."
"social","s159","6",18,"This article matters to people I know because they tend to eat breakfast first thing in the morning."
"social","s159","7",10,"This article matters to me because I care about wildlife."
"social","s159","8",16,"This article matters to the people I know because they eat a lot of red meat."
"social","s160","10",NA,NA
"social","s160","11",NA,NA
"social","s160","12",NA,NA
"social","s160","9",NA,NA
"social","s161","5",NA,NA
"social","s161","6",NA,NA
"social","s161","7",NA,NA
"social","s161","8",NA,NA
"social","s162","1",NA,NA
"social","s162","2",NA,NA
"social","s162","3",NA,NA
"social","s162","4",NA,NA
"social","s163","10",NA,NA
"social","s163","11",NA,NA
"social","s163","12",NA,NA
"social","s163","9",NA,NA
"social","s164","10",NA,NA
"social","s164","11",NA,NA
"social","s164","12",NA,NA
"social","s164","9",NA,NA
"social","s165","10",NA,NA
"social","s165","11",NA,NA
"social","s165","12",NA,NA
"social","s165","9",NA,NA
"social","s166","1",NA,NA
"social","s166","2",NA,NA
"social","s166","3",NA,NA
"social","s166","4",NA,NA
"social","s167","5",7,"People I know need to be updated."
"social","s167","6",12,"The people I know need to avoid sugar drinks to live longer."
"social","s167","7",14,"They need to know how important it is for them to avoid sugary drinks."
"social","s167","8",12,"This article will help them to better take care of their babies."
"social","s168","5",NA,NA
"social","s168","6",NA,NA
"social","s168","7",NA,NA
"social","s168","8",NA,NA
"social","s169","1",14,"There are several overweight children in my family who could use more physical exercise."
"social","s169","2",26,"This matters to everyone on the planet as it gets rid of the amount of carbon dioxide in the air and gives us more renewable energy."
"social","s169","3",13,"More wildfires could lead to the homelessness of more people in the country."
"social","s169","4",12,"I do not think many people in my family have disaster insurance."
"social","s170","1",NA,NA
"social","s170","2",NA,NA
"social","s170","3",NA,NA
"social","s170","4",NA,NA
"social","s171","1",NA,NA
"social","s171","2",NA,NA
"social","s171","3",NA,NA
"social","s171","4",NA,NA
"social","s172","1",NA,NA
"social","s172","2",NA,NA
"social","s172","3",NA,NA
"social","s172","4",NA,NA
"social","s173","1",NA,NA
"social","s173","2",NA,NA
"social","s173","3",NA,NA
"social","s173","4",NA,NA
"social","s174","5",NA,NA
"social","s174","6",NA,NA
"social","s174","7",NA,NA
"social","s174","8",NA,NA
"social","s175","10",20,"We need to know what's going on and how we're addressing climate change, so this should be read by all."
"social","s175","11",27,"Getting plenty of Vitamin D can be great for your baby's teeth, and we all know healthy teeth is important for a human from birth until death."
"social","s175","12",21,"This can help you cut back on food waste which is great for the environemnt and can also save you money."
"social","s175","9",20,"The Senate wants to drill in Arctic wildlife refuges and this is scary because it can really harm our environment."
"social","s176","5",NA,NA
"social","s176","6",NA,NA
"social","s176","7",NA,NA
"social","s176","8",NA,NA
"social","s177","10",NA,NA
"social","s177","11",NA,NA
"social","s177","12",NA,NA
"social","s177","9",NA,NA
"social","s178","5",13,"Young people in my social group would be more inspired about climate change."
"social","s178","6",25,"A lot of people I know are active, fit and technology oriented, so they may want to hear about ways to add to their repertoire."
"social","s178","7",10,"CBD is not considered to be prohibited in certain states."
"social","s178","8",33,"It is taught in schools and there are currently a lot of ways to change the planet that people I know have learned growing up through school. People may be interested in more."
"social","s179","1",NA,NA
"social","s179","2",NA,NA
"social","s179","3",NA,NA
"social","s179","4",NA,NA
"social","s180","1",NA,NA
"social","s180","2",NA,NA
"social","s180","3",NA,NA
"social","s180","4",NA,NA
"social","s181","5",NA,NA
"social","s181","6",NA,NA
"social","s181","7",NA,NA
"social","s181","8",NA,NA
"social","s182","10",NA,NA
"social","s182","11",NA,NA
"social","s182","12",NA,NA
"social","s182","9",NA,NA
"social","s183","5",NA,NA
"social","s183","6",NA,NA
"social","s183","7",NA,NA
"social","s183","8",NA,NA
"social","s184","10",NA,NA
"social","s184","11",NA,NA
"social","s184","12",NA,NA
"social","s184","9",NA,NA
"social","s185","1",NA,NA
"social","s185","2",NA,NA
"social","s185","3",NA,NA
"social","s185","4",NA,NA
"social","s186","1",NA,NA
"social","s186","2",NA,NA
"social","s186","3",NA,NA
"social","s186","4",NA,NA
"social","s187","5",17,"if you've gone gluten free for without being gluten intolerant, you may be doing yourself more harm"
"social","s187","6",7,"Plastic is hurting our environment and us"
"social","s187","7",17,"climate change consequences are coming to businesses - will hurting their bottom line help them join the fight"
"social","s187","8",11,"children don't play outside enough anymore, and it is hurting them"
"social","s188","10",10,"Because my friends care about the health of their kids"
"social","s188","11",16,"Because they want to stay healthy and give their self the best chance to do so."
"social","s188","12",22,"Because they are trying to figure out the best way to make a difference and would be interested in the environmentalist opinions"
"social","s188","9",15,"A lot of people i know care about climate change and helping save the planet"
"social","s189","10",NA,NA
"social","s189","11",NA,NA
"social","s189","12",NA,NA
"social","s189","9",NA,NA
"social","s190","1",NA,NA
"social","s190","2",NA,NA
"social","s190","3",NA,NA
"social","s190","4",NA,NA
"social","s191","1",NA,NA
"social","s191","2",NA,NA
"social","s191","3",NA,NA
"social","s191","4",NA,NA
"social","s192","1",NA,NA
"social","s192","2",NA,NA
"social","s192","3",NA,NA
"social","s192","4",NA,NA
"social","s193","1",NA,NA
"social","s193","2",NA,NA
"social","s193","3",NA,NA
"social","s193","4",NA,NA
"social","s194","5",NA,NA
"social","s194","6",NA,NA
"social","s194","7",NA,NA
"social","s194","8",NA,NA
"social","s195","10",NA,NA
"social","s195","11",NA,NA
"social","s195","12",NA,NA
"social","s195","9",NA,NA
"social","s196","5",NA,NA
"social","s196","6",NA,NA
"social","s196","7",NA,NA
"social","s196","8",NA,NA
"social","s197","1",15,"I have family that lives in Florida, who may be impacted by the toxic algae."
"social","s197","2",18,"I have friends who are very into fitness who also smoke, this could convince them to quit smoking."
"social","s197","3",24,"I feel that the content of this article would be relevant to everyone, as everyone should be educated on the effects of climate change."
"social","s197","4",26,"Most people I know tend to favor paper bags, as they are better for the environment, but knowing the potential downsides may cause them to reconsider."
"social","s198","1",NA,NA
"social","s198","2",NA,NA
"social","s198","3",NA,NA
"social","s198","4",NA,NA
"social","s199","10",NA,NA
"social","s199","11",NA,NA
"social","s199","12",NA,NA
"social","s199","9",NA,NA
"social","s200","10",NA,NA
"social","s200","11",NA,NA
"social","s200","12",NA,NA
"social","s200","9",NA,NA
"social","s201","1",NA,NA
"social","s201","2",NA,NA
"social","s201","3",NA,NA
"social","s201","4",NA,NA
"social","s202","5",NA,NA
"social","s202","6",NA,NA
"social","s202","7",NA,NA
"social","s202","8",NA,NA
"social","s203","5",NA,NA
"social","s203","6",NA,NA
"social","s203","7",NA,NA
"social","s203","8",NA,NA
"social","s204","10",14,"A Silicon Valley firm trying to make detailed information about climate risks more accessible."
"social","s204","11",27,"My mom has been a crash dieter her whole life and has always exercised herself to exhaustion but seen very little weight loss, this would interest her."
"social","s204","12",13,"The usefulness of a heart monitor while engaging in high-intensity interval training."
"social","s204","9",22,"I live in a state where CBD is legal and so for many in my community this would be an interesting article."
"social","s205","5",NA,NA
"social","s205","6",NA,NA
"social","s205","7",NA,NA
"social","s205","8",NA,NA
"social","s206","10",13,"I think everyone has a part to play in reducing their carbon footprint"
"social","s206","11",20,"People I know want the best for their kids so they would like to know how to keep them healthy"
"social","s206","12",16,"People I know need to protect themselves from illness and should learn how to do it"
"social","s206","9",14,"I know people with these symptoms and I want them to not develop Parkinsons"
"social","s207","10",23,"Many people have eating disorders and it could help those in a partnership try to over the disorder or try a new treatment."
"social","s207","11",22,"My parents are getting older so they would like to know that they may not slow down as much as they think."
"social","s207","12",18,"It matters so that they know there are some people pushing hard against the idea of climate change."
"social","s207","9",18,"Many people I know live in these areas so knowing more about the droughts and fires is necessary."
"social","s208","1",NA,NA
"social","s208","2",NA,NA
"social","s208","3",NA,NA
"social","s208","4",NA,NA
"social","s209","10",NA,NA
"social","s209","11",NA,NA
"social","s209","12",NA,NA
"social","s209","9",NA,NA
"social","s210","1",NA,NA
"social","s210","2",NA,NA
"social","s210","3",NA,NA
"social","s210","4",NA,NA
"social","s211","1",18,"This matters as the climate crisis will impact many of us, and these fires are just one aspect."
"social","s211","2",10,"This might help anyone who has this kind of problem."
"social","s211","3",10,"Because tooth decay is awful, and we all experience it."
"social","s211","4",8,"Because it might be useful, but not concrete."
"social","s212","10",NA,NA
"social","s212","11",NA,NA
"social","s212","12",NA,NA
"social","s212","9",NA,NA
"social","s213","1",NA,NA
"social","s213","2",NA,NA
"social","s213","3",NA,NA
"social","s213","4",NA,NA
"social","s214","10",NA,NA
"social","s214","11",NA,NA
"social","s214","12",NA,NA
"social","s214","9",NA,NA
"social","s215","1",NA,NA
"social","s215","2",NA,NA
"social","s215","3",NA,NA
"social","s215","4",NA,NA
"social","s216","5",NA,NA
"social","s216","6",NA,NA
"social","s216","7",NA,NA
"social","s216","8",NA,NA
"social","s217","5",NA,NA
"social","s217","6",NA,NA
"social","s217","7",NA,NA
"social","s217","8",NA,NA
"social","s218","5",14,"After the pandemic people I know want to be as healthy as they can."
"social","s218","6",13,"Some people I know are dieting and hit a plateau in weight loss."
"social","s218","7",13,"CBD has helped a lot of people I know with anxiety and pain."
"social","s218","8",22,"This matters to people I know who are parents and want to take their children to undeveloped places to interact with nature."
"social","s219","1",NA,NA
"social","s219","2",NA,NA
"social","s219","3",NA,NA
"social","s219","4",NA,NA
"social","s220","5",NA,NA
"social","s220","6",NA,NA
"social","s220","7",NA,NA
"social","s220","8",NA,NA
"social","s221","1",NA,NA
"social","s221","2",NA,NA
"social","s221","3",NA,NA
"social","s221","4",NA,NA
"social","s222","5",NA,NA
"social","s222","6",NA,NA
"social","s222","7",NA,NA
"social","s222","8",NA,NA
"social","s223","5",NA,NA
"social","s223","6",NA,NA
"social","s223","7",NA,NA
"social","s223","8",NA,NA
"social","s224","1",9,"A lot of my friends and family own SUVs"
"social","s224","2",16,"My mom is vegan and would be interested in how her diet helps her live longer"
"social","s224","3",23,"A lot of people I know drink a lot of sugary drinks and might be interested in the health effects of their actions"
"social","s224","4",16,"A lot of my friends don't work out and this might influence them to do so"
"social","s225","5",NA,NA
"social","s225","6",NA,NA
"social","s225","7",NA,NA
"social","s225","8",NA,NA
"social","s226","5",NA,NA
"social","s226","6",NA,NA
"social","s226","7",NA,NA
"social","s226","8",NA,NA
"social","s227","5",NA,NA
"social","s227","6",NA,NA
"social","s227","7",NA,NA
"social","s227","8",NA,NA
"social","s228","5",NA,NA
"social","s228","6",NA,NA
"social","s228","7",NA,NA
"social","s228","8",NA,NA
"social","s229","1",NA,NA
"social","s229","2",NA,NA
"social","s229","3",NA,NA
"social","s229","4",NA,NA
"social","s230","10",19,"Cycling may not help bones (per previous article), but there are other health markers it helps for staying youthful."
"social","s230","11",25,"Now we know where the push is coming from, and it isn't science or even the auto industry. It just reinforces all you knew already."
"social","s230","12",15,"A lot of people eat deli meats. Most of us don't want colorectal cancer though."
"social","s230","9",23,"Pacific sailors beware! You might have to bypass this. Also, all of us who are thinking about plastic reduction, keep pumping the message!"
"social","s231","1",NA,NA
"social","s231","2",NA,NA
"social","s231","3",NA,NA
"social","s231","4",NA,NA
"social","s232","1",NA,NA
"social","s232","2",NA,NA
"social","s232","3",NA,NA
"social","s232","4",NA,NA
"social","s233","10",19,"this article is relevant to people I know because I said earlier, sugary drinks are not good for anyone"
"social","s233","11",9,"This article is actually relevant to all of us"
"social","s233","12",15,"This article, like the previous one is also relevant to everyone I know, including me"
"social","s233","9",16,"this article matters to people I know because these problems are the one my friend have"
"social","s234","10",NA,NA
"social","s234","11",NA,NA
"social","s234","12",NA,NA
"social","s234","9",NA,NA
"social","s235","1",NA,NA
"social","s235","2",NA,NA
"social","s235","3",NA,NA
"social","s235","4",NA,NA
"social","s236","1",NA,NA
"social","s236","2",NA,NA
"social","s236","3",NA,NA
"social","s236","4",NA,NA
"social","s237","5",NA,NA
"social","s237","6",NA,NA
"social","s237","7",NA,NA
"social","s237","8",NA,NA
"social","s238","1",NA,NA
"social","s238","2",NA,NA
"social","s238","3",NA,NA
"social","s238","4",NA,NA
"social","s239","1",NA,NA
"social","s239","2",NA,NA
"social","s239","3",NA,NA
"social","s239","4",NA,NA
"social","s240","1",25,"This article matters to people I know because climate change is effecting us, and understand climate change could possibly make them take it more seriously."
"social","s240","2",25,"This article matters to people I know because nearly everyone knows someone who is suffering from obesity and this could be useful information to them."
"social","s240","3",22,"This article matters to people I know because there is a possibility they could suffer from kidney stones and use this infomation."
"social","s240","4",15,"This article matters to people I know because nearly everyone I know drinks sugary drinks."
"social","s241","5",19,"The smoke from the fires in California can travel far across the country and affect the air quality here."
"social","s241","6",22,"My parents did the Atkins diet back in the day, which is similar, so this would be good for them to know."
"social","s241","7",8,"I know a couple people with sleep apnea."
"social","s241","8",16,"My husband paints a lot, and my parents use a lot of pesticides in their garden."
"social","s242","1",NA,NA
"social","s242","2",NA,NA
"social","s242","3",NA,NA
"social","s242","4",NA,NA
"social","s243","5",NA,NA
"social","s243","6",NA,NA
"social","s243","7",NA,NA
"social","s243","8",NA,NA
"social","s244","10",NA,NA
"social","s244","11",NA,NA
"social","s244","12",NA,NA
"social","s244","9",NA,NA
"social","s245","10",NA,NA
"social","s245","11",NA,NA
"social","s245","12",NA,NA
"social","s245","9",NA,NA
"social","s246","10",NA,NA
"social","s246","11",NA,NA
"social","s246","12",NA,NA
"social","s246","9",NA,NA
"social","s247","10",NA,NA
"social","s247","11",NA,NA
"social","s247","12",NA,NA
"social","s247","9",NA,NA
"social","s248","5",NA,NA
"social","s248","6",NA,NA
"social","s248","7",NA,NA
"social","s248","8",NA,NA
"social","s249","5",42,"My family and the generations that will come after me will be heavily impacted if we don't do something about our environment TODAY. If we really care for our family, we'll listen to the professionals and be proactive about saving our planet."
"social","s249","6",35,"My brother loves to walk. He probably walks at least 5 miles per day. He also eats bananas and loves to drink sports drinks. I bet he doesn't know that bananas are better exercise fuel."
"social","s249","7",36,"I have friends who look after wildlife and this may affect them somewhat. I wonder why they're trying to weaken this law. What will it benefit. All I see is the negatives it will bring about."
"social","s249","8",25,"My brother's been interested in weight training and doesn't know quite where to start. This is an article he'd probably be VERY interested in reading."
"social","s250","1",6,"some of my friends are obese"
"social","s250","2",6,"lots of my friends use CBD"
"social","s250","3",7,"some of my friends battle weight issues"
"social","s250","4",5,"i have friends who smoke"
"social","s251","1",NA,NA
"social","s251","2",NA,NA
"social","s251","3",NA,NA
"social","s251","4",NA,NA
"social","s252","5",NA,NA
"social","s252","6",NA,NA
"social","s252","7",NA,NA
"social","s252","8",NA,NA
"social","s253","5",NA,NA
"social","s253","6",NA,NA
"social","s253","7",NA,NA
"social","s253","8",NA,NA
"social","s254","5",46,"My family has a history of cancer and for all of them to know as much as they can about the cancers that have taken 4 members of the immediate family in the last 4 yrs, we look into all the resources we can on cancer."
"social","s254","6",11,"I have a few family members and friends that are overweight."
"social","s254","7",9,"There are friends that eat too many sugary drinks."
"social","s254","8",11,"There are friends that have lived thru a fire in California."
"social","s255","1",5,"We all eat GMO products"
"social","s255","2",4,"My friends have children"
"social","s255","3",6,"We could all suffer hearing loss"
"social","s255","4",8,"A lot of us get energy from coal"
"social","s256","1",NA,NA
"social","s256","2",NA,NA
"social","s256","3",NA,NA
"social","s256","4",NA,NA
"social","s257","10",NA,NA
"social","s257","11",NA,NA
